galaxy,cluster,sftype,agntype,right_ascension,declination,distance,redshift,modified_redshift,itot_151,itot_610,itot_1400,itot_4860,itot_18000,m_hi,cos_va,itot_24mic,itot_70mic,itot_100mic,itot_160mic,itot_250mic,itot_350mic,itot_450mic,itot_500mic,itot_850mic,itot_1200mic,K_mag,RQQ_IR_class,SD_flag,dlog_L
36394078,0,0,2,2.87311,0.05229,2058.891,0.552843,0.552057347,-2.1547,-2.5955,-2.8514,-3.2322,-3.6475,0,0.1264,-4.74857,-4.78388,-4.43614,-4.18427,-4.23699,-4.43531,-4.64739,-4.75729,-5.39001,-5.86675,16.1199,0,0,0
36394377,0,0,2,-3.07412,1.6553,2059.3,0.552972,0.553575508,-2.0789,-2.5334,-2.8036,-3.2085,-3.6347,0,0.0349,-4.78515,-4.82053,-4.47281,-4.22088,-4.27356,-4.47182,-4.68389,-4.79376,-5.42646,-5.90321,16.2114,0,0,0
36394632,0,0,2,-3.6595,2.28383,2057.809,0.552502,0.554373499,-1.6859,-2.1395,-2.4087,-2.8117,-3.2371,0,0.3483,-4.63972,-4.67485,-4.32708,-4.07537,-4.1282,-4.32668,-4.53879,-4.64874,-5.28154,-5.75826,15.8475,0,0,0
36394752,0,0,2,-2.27075,2.71695,2056.695,0.55215,0.55312471,-1.2315,-1.6855,-1.9552,-2.3591,-2.7848,0,0.0872,-5.31378,-5.3487,-5.00091,-4.74936,-4.8023,-5.00095,-5.21308,-5.3231,-5.95596,-6.43266,17.5325,0,0,0
36394777,1693,0,2,3.87754,2.48738,2060.063,0.5533,0.552683202,-1.3527,-1.8052,-2.0734,-2.4747,-2.8992,0,0.8022,-4.85812,-4.89369,-4.54599,-4.29391,-4.34649,-4.54458,-4.75664,-4.86644,-5.49908,-5.97585,16.394,0,0,0
36394824,0,0,2,2.45618,2.78935,2057.171,0.552301,0.550872211,-0.9805,-1.4339,-1.703,-2.106,-2.5313,0,0.37,-4.85997,-4.89499,-4.54721,-4.29559,-4.34848,-4.54706,-4.75918,-4.86917,-5.50201,-5.97871,16.3981,0,0,0
36394852,982,0,2,-1.29552,2.88648,2056.696,0.554976,0.553958997,-2.1736,-2.628,-2.8982,-3.3029,-3.7291,0,0.0212,-4.9343,-4.97068,-4.62312,-4.37026,-4.42232,-4.61961,-4.83156,-4.94105,-5.57337,-6.05023,16.5852,0,0,0
36395158,0,0,2,-2.83026,4.88442,2066.839,0.555351,0.555803303,-0.4026,-0.8546,-1.1223,-1.5227,-1.9468,0,0.5754,-4.57945,-4.61616,-4.26863,-4.01559,-4.06754,-4.26465,-4.47658,-4.586,-5.21825,-5.69512,15.6987,0,0,0
36397716,0,0,2,-4.92336,-1.0718,2066.573,0.555267,0.555313679,-2.0238,-2.4732,-2.7379,-3.1334,-3.5552,0,0.3654,-4.78169,-4.81834,-4.47081,-4.21781,-4.26978,-4.46693,-4.67886,-4.7883,-5.42056,-5.89744,16.2042,0,0,0
36397717,0,0,2,-4.78021,-0.99943,2064.649,0.55466,0.554915477,-1.6951,-2.1496,-2.4199,-2.8248,-3.251,0,0.0904,-5.02306,-5.05942,-4.71183,-4.45912,-4.51127,-4.70872,-4.92069,-5.03024,-5.66262,-6.13945,16.8073,0,0,0
36397760,0,0,2,-2.09781,-0.92096,2063.261,0.554221,0.551785845,-2.124,-2.5785,-2.8488,-3.2538,-3.6801,0,0.0003,-4.88014,-4.91625,-4.56863,-4.31612,-4.36841,-4.56606,-4.77806,-4.88769,-5.52015,-5.99697,16.4497,0,0,0
36398129,0,0,2,1.72336,1.32507,2059.619,0.553072,0.552162746,-0.3224,-0.6991,-0.8974,-1.2001,-1.5851,0,0.9718,-4.68724,-4.72267,-4.37496,-4.12298,-4.17563,-4.37384,-4.58591,-4.69576,-5.32844,-5.80519,15.9667,0,0,0
36400919,0,0,2,-0.52777,-4.31705,2072.502,0.55714,0.555611624,-1.5167,-1.9701,-2.2393,-2.6423,-3.0677,0,0.7724,-5.03777,-5.07556,-4.72818,-4.47432,-4.52571,-4.72197,-4.9338,-5.04289,-5.6748,-6.15177,16.8458,0,0,0
36401010,0,0,2,2.70174,-3.8096,2074.003,0.557615,0.557169565,-2.0679,-2.517,-2.7814,-3.1762,-3.5978,0,0.7126,-4.9256,-4.96367,-4.61633,-4.36226,-4.4135,-4.60954,-4.82133,-4.93034,-5.56216,-6.03916,16.5657,0,0,0
36401148,0,0,2,-3.53911,-2.87841,2073.027,0.557306,0.556780573,-2.1484,-2.6013,-2.8698,-3.2716,-3.6964,0,0.2776,-5.22715,-5.26505,-4.91768,-4.66375,-4.71509,-4.91126,-5.12308,-5.23214,-5.86402,-6.341,17.3194,0,0,0
36401433,0,0,2,-1.88913,-1.17102,2066.379,0.555205,0.554507321,-1.7487,-2.1939,-2.4542,-2.8422,-3.2607,0,0.8566,-5.11561,-5.15221,-4.80467,-4.5517,-4.60369,-4.80087,-5.01281,-5.12226,-5.75453,-6.2314,17.0389,0,0,0
36401708,1756,0,2,4.44471,0.3044,2073.845,0.556106,0.55557662,-2.074,-2.5278,-2.7973,-3.2009,-3.6265,0,0.0482,-4.57488,-4.61206,-4.2646,-4.01121,-4.06292,-4.25967,-4.47156,-4.58084,-5.21295,-5.68986,15.6878,0,0,0
36401896,0,0,2,3.34734,0.91159,2074.877,0.557891,0.5562308,-2.1042,-2.5577,-2.8269,-3.2299,-3.6552,0,0.0522,-4.82253,-4.86076,-4.51345,-4.25924,-4.31041,-4.50631,-4.71809,-4.82705,-5.45881,-5.93582,16.3082,0,0,0
36401931,0,0,2,-2.2593,1.33676,2066.761,0.555326,0.555665307,-1.5731,-1.6194,-1.667,-1.8426,-2.1914,0,0.9909,-4.97409,-5.01079,-4.66325,-4.41023,-4.46218,-4.6593,-4.87124,-4.98066,-5.61291,-6.08979,16.6852,0,0,0
36401940,0,0,2,2.50822,1.19354,2072.378,0.557101,0.556093933,-0.9019,-1.3401,-1.5932,-1.9699,-2.3834,0,0.8022,-4.56916,-4.60693,-4.25955,-4.00571,-4.05711,-4.25339,-4.46522,-4.57432,-5.20623,-5.6832,15.6743,0,0,0
